date,ticker,asset_class,close,currency
2019-05-20,EUNL.DE,ETF,49.92599868774414,EUR
2019-05-21,EUNL.DE,ETF,50.27399826049805,EUR
2019-05-22,EUNL.DE,ETF,50.2239990234375,EUR
2019-05-23,EUNL.DE,ETF,49.51900100708008,EUR
2019-05-24,EUNL.DE,ETF,49.595001220703125,EUR
2019-05-28,EUNL.DE,ETF,49.70500183105469,EUR
2019-05-29,EUNL.DE,ETF,49.07600021362305,EUR
2019-05-30,EUNL.DE,ETF,49.26399993896485,EUR
2019-05-31,EUNL.DE,ETF,48.90399932861328,EUR
2019-06-03,EUNL.DE,ETF,48.62200164794922,EUR
2019-06-04,EUNL.DE,ETF,48.95299911499024,EUR
2019-06-05,EUNL.DE,ETF,49.31700134277344,EUR
2019-06-06,EUNL.DE,ETF,49.422000885009766,EUR
2019-06-07,EUNL.DE,ETF,49.87300109863281,EUR
2019-06-11,EUNL.DE,ETF,50.28799819946289,EUR
2019-06-12,EUNL.DE,ETF,50.08000183105469,EUR
2019-06-13,EUNL.DE,ETF,50.27999877929688,EUR
2019-06-14,EUNL.DE,ETF,50.39799880981445,EUR
2019-06-17,EUNL.DE,ETF,50.40800094604492,EUR
2019-06-18,EUNL.DE,ETF,51.18999862670898,EUR
2019-06-19,EUNL.DE,ETF,51.09000015258789,EUR
2019-06-20,EUNL.DE,ETF,51.28799819946289,EUR
2019-06-21,EUNL.DE,ETF,51.2400016784668,EUR
2019-06-24,EUNL.DE,ETF,50.854000091552734,EUR
2019-06-25,EUNL.DE,ETF,50.68199920654297,EUR
2019-06-26,EUNL.DE,ETF,50.49399948120117,EUR
2019-06-27,EUNL.DE,ETF,50.56600189208984,EUR
2019-06-28,EUNL.DE,ETF,50.810001373291016,EUR
2019-07-01,EUNL.DE,ETF,51.52999877929688,EUR
2019-07-02,EUNL.DE,ETF,51.59199905395508,EUR
2019-07-03,EUNL.DE,ETF,52.124000549316406,EUR
2019-07-05,EUNL.DE,ETF,52.150001525878906,EUR
2019-07-08,EUNL.DE,ETF,52.03799819946289,EUR
2019-07-09,EUNL.DE,ETF,51.95399856567383,EUR
2019-07-10,EUNL.DE,ETF,51.99800109863281,EUR
2019-07-11,EUNL.DE,ETF,52.10599899291992,EUR
2019-07-12,EUNL.DE,ETF,52.1879997253418,EUR
2019-07-15,EUNL.DE,ETF,52.27999877929688,EUR
